Configuration of Pyhaesalmi receivers from MIMO								
1	1	8.30107	2.38111	-1.03928	+	E	PS01
2	1	8.30107	2.38111	-1.03928	-	N	PS01
3	1	8.30107	2.38111	-1.03928	-	Z	PS01
4	2	8.10998	2.24716	-1.06967	-	Z	PS02
5	3	8.28539	2.2316	-1.06711	-	Z	PS03
6	4	8.46413	2.18981	-1.06141	-	Z	PS04
7	5	8.21535	2.2943	-1.24183	-	N	PS05
8	5	8.21535	2.2943	-1.24183	+	E	PS05
9	5	8.21535	2.2943	-1.24183	-	Z	PS05
10	6	8.43852	2.41408	-1.25021	-	Z	PS06
11	7	8.49971	2.205	-1.23928	-	Z	PS07
12	8	8.29534	2.16686	-1.26294	-	Z	PS08
13	9	8.29741	2.40308	-1.32671	+	E	PS09
14	9	8.29741	2.40308	-1.32671	-	N	PS09
15	9	8.29741	2.40308	-1.32671	-	Z	PS09
16	10	8.18268	2.28229	-1.33961	-	Z	PS10
17	11	8.38709	2.29253	-1.34088	-	Z	PS11
18	12	8.4099	2.17353	-1.33799	-	Z	PS12
19	13	8.16691	2.23277	-1.39633	-	N	PS13
20	13	8.16691	2.23277	-1.39633	+	E	PS13
21	13	8.16691	2.23277	-1.39633	-	Z	PS13
22	14	8.25672	2.2525	-1.39317	-	Z	PS14
23	15	8.39248	2.41446	-1.39828	-	Z	PS15
24	16	8.24349	2.43628	-1.39869	-	Z	PS16
25	17	8.14677	2.20894	-1.28944	+	E	PS17
26	17	8.14677	2.20894	-1.28944	-	N	PS17
27	17	8.14677	2.20894	-1.28944	-	Z	PS17
28	18	8.33549	2.09782	-1.31419	+	E	PS18
29	18	8.33549	2.09782	-1.31419	-	N	PS18
30	18	8.33549	2.09782	-1.31419	-	Z	PS18
